제목	본문
까면 깔수록 계속 나오는 전 에이프릴 이현주 공듀님	다들 현주소 브이로그 봤으면 알거야 영상에 자주 등장하는 이현주 친구 알지 근데 신기하게 이 친구가 자기가 이현주 동창이라며 글쓴 사람 이랑 귀모양이 똑같다네 근데 너무나도 이상한 점은 이현주가 에이프릴 탈퇴하고 나서 이 친구가 자기 인스타그램에 에이프릴 파인애플이라고 태그하고 게시물을 올렸다네 친구가 에이프릴 때문에 자살시도를 했다는데 에이프릴이라면서 인스타그램에 게시물을 올리는 또라이가 있다 신기하넹 뭐 판단은 판녀들이 알아서해 난 그냥 신기해서 글 쓴거니까 나한테 뭐라고 하진 말고 캡쳐한 사진들 올려줄겡 다 꼼꼼히 읽어보숑추가갑자기 영원씨 인스타그램 댓글 막아놨네 이건 뭘까 신기방기 참고로 진짜 방금 댓글 막아놨어 저분이 저 글 올리자마자 몇분뒤에 급히 댓글을 막았네 소식 손가락 휜것도 똑같다네 이런 우연이 
카리나 실물 개쩌는 데	연예인이네 
니네 본진 음방 엠씨 하면 어디 가 좋음	삼사중에서만 하자 뮤뱅 음중 인가 셋중에 갠적으로 어디내 본진은 뮤뱅 아님 인가사진은 걍 엠씨 사진방탄 트와이스 블랙핑크 에스파 스테이씨 스키즈 투바투 엔하이픈 엔시티 세븐틴 골든차일드 덥즈 더보이즈 위클리 방탄소년단 트와이스 블랙핑크 엑소 엔시티 세븐틴 에이비식스 골든차일드 아이즈원 레드벨벳 몬스타엑스 크래비티 우주소녀 다이아 여자친구 강다니엘 에스에프나인 투바투 더보이즈 갓세븐 스키즈 에스에프나인 비투비 에스파 아이들 뷔 정국 지민 나연 사나 쯔위 로제 제니 지수 디오 백현 세훈 태용 재현 정우 원우 호시 승관 장원영 안유진 강혜원 조이 아이린 예리 로운 휘영 수빈 연준 휴닝카이 주연 영훈 뉴 윈터 카리나 지젤 설아 보나 은서 수진 전소연 슈화
결혼하신 분들께 여 쭙니다	살 싱글입니다그동안 오래만난 남자들과 번정도 결혼파토가 났습니다남자가 지친것도 있었고 제가 잘못한 적도 있고 남자가 바람이 난적도 있었던 여러이유입니다그래서 이별도 많이 겪고 자존감도 많이 내려갔습니다집이 어려운 것도 아니고 저도 일하고 있는 상태이지만제가 소개를 받을 친구들도 없고 직장도 혼자 할 수 있는 일이고남사친도 없습니다그래서 연 닿기가 쉽지 않습니다그래서 결혼을 하신분들 약속 하신분들께 여쭙고 싶습니다여러 경험을 하고 자존감도 낮아진 상태고제 생각에는 결혼도 못할 것같고 언제 누굴만나서 연애해서 결혼하나 싶기도 합니다남자들은 만나면 만나는 동안은 결혼자금도 공개하고 그 정도를 정말 저를 아껴주다가 떠나기를 반복하니 이제 너무 힘드네요이별을 겪은지도 얼마 안 되었기도 하지만은사람들에게 듣고 싶기도 했고 궁금하기도 합니다정말 결혼할 상대 인연이나 짝은 꼭 나타날까요 
방탄 제이홉이 엑소 까는 가사 쓴 거야	다른건 그냥 넘기고 방탄안티들이 억까하는 오래된 것들이라 그러려니 스루하는데 이거 방탄 제이홉이 쓴 가사제이홉이 가사 쓴거 확실해으르렁대   이걸 굳이 왜 가사에 
낯을 가리는 사람들은 두가지 유형으로 나뉜다	 
비투비 이민혁 진심 내 스타일	새오빠를 찾은 것 같습니다왜 내가 그대를 지금 안거죠왜 아무도 나에게 이 사실을 알려주지 않았나요기사사진 보고 반하기는 처음 
재현 남팬이 쓴 재현 피부 묘사	잡지 에디터또 다른 남팬 스엠 디렉터엔시티 재현 정재현 뷰티 틴트 피부 화장  
환승연애 정권 미쳤네 	원래도 맘에 안들었는데 뭐하는거야 이게 
스우파 비주얼 삼대장	웨이비 노제라치카 시미즈프라우드먼 모니카 이제 순이를 곁들인
장모님이 뭐래 라는 남편	안녕하세요 지금 남편이랑 대판싸우고 꼴도보기싫어서 동생집 와있는데요남편말로는 제가 그냥 넘길수있는일을 괜히 오바해서 크게키운거라는데 한번 봐주세요친정엄마랑 통화를 좀 길게 했음 전화끊자마자 배고픈데 무슨 통화를 그렇게 길게해장모님이 뭐래이러는거예요 뭐라셔 뭐라고하셨는데 무슨얘기하셨는데보통 이렇게 말하지않나요제가 높임말을 써야지 친구도아니고 뭐래가 뭐냐니까아 좀 가족인데 그런거따지지말자 배고픈데 피곤하게왜그래 하면서 본인이 더 짜증내길래서로언성높이며 싸우다 속터져서 걍 나왔습니다그냥 넘길수있는문제인가요
지잡 현실  복학왕 맞아 	고삼인데 진짜 맞아 진심으로 트루 맞아  
요즘 어 그로 많이 붙은 남돌들	스키즈 더보이즈 투바투 초동 오르고 공중파 위 하니까 어그로랑 원래 있던 정병들이 날뜀  맨날 망돌 하더니 현실은 공중파 위하넴 아 이나 는 원래 정병 많은거 알고있어서 추가 안했음 어그로 많이 붙는것도 정도가 있지 얘넨 멤버마다 정병 한명씩은 있던데   
남편에게 제 상처를 털어놨더니 그걸 다 말하고 다니네요	얼마전에 제 어린시절 제가 받았던 상처에 대해서처음으로 남편에게 꺼내서 털어놓았어요저희 가족에 관한 이야기인데저에게는 큰 상처이기에 그 어떤 친구에게도 털어논적이 없네요그러다가 제 남편에게 힘들게 털어놓게 되었고저에게 따뜻한 위로를 해주며 다독여주더구요나에게 말해줘서 고맙다고  말 잘했다면서요저는 행여라도 다른사람들에게는 말하지 말라고 당부했습니다오늘 남편이랑 남편 친구가 술 먹는다길래제가 남편 데리러 그 술자리에 갔어요 그런데 남편 친구가 그럽디다 제 이야기 들었다고 남편한테 사실이냐고요진짜 손발이 부들부들 떨리고 눈물이 주륵주륵 나더군요저에게 큰 상처였던 일이라 아무에게도 털어놓지 못했다는것도 알면서 그걸 어떻게 자기 친구들한테 말하나요술김에 그런거라고 제가 이해해야 하는건가요남편은 지금 술에 취해서 자고 있습니다내일 어떻게 이야기 해야할지 부들부들 심장 떨려서잠도 안오네요
급 감성 짤 읎냐	이런 거 몬지 알겟지 
나 오늘 인가 봤는데	스키즈  잘하더라좀 늦었지만 위 축하행
자퇴하길  잘한 듯	고때 자퇴했음 현 고내신 안 하기도 하고 갓반고라서 등급 창났었어애들 학교 갈 때 나는 전과목 학원 가서 정시공부하고 모고 성적도 많이 올랐음사회생활 진짜 힘들었는데 학교 쌤들 비위 안 맞춰도 되고 안 맞는 애들이랑 마주할 일 없어서 개좋음 지금은 찐친들 명 정도랑만 연락하고 가끔 밥도 먹고검정고시 실수로 전체에서개 틀렸는데도 내가 가고 싶었던 대학 학과 수시 낼 수 있는 정도 됨학교 다니는 내 친구들보다 내신 높게 환산됨몇몇 어른들은 고등학교때 추억이 평생 기억에 남는 거라며 안타까워했는데 난 대신에 나만 느낄 수 있는 것들을 경험했기 때문에 괜찮음 학교 년 반 다녔을때도 추억 어쩌구 할 정도로 학교생활이 재밌진 않았던 것 같아고등학교 졸사는 없지만 염색하고 예쁘고 꾸미고 프로필사진도 찍었고집에서 공부하다가 우울해지면 강아지랑 조금 놀고맛없는 급식 안 먹고 엄마가 해주는 집밥이나 배달음식 시켜먹고우울증이랑 불안장애 공황장애도 많이 좋아졌어제법 괜찮게 살고 있는듯 나 
초등학생의 발 명품	 
	댓글은 계속 보면서 되새길려고 지우지않겠습니다 글은 저만 보게 지울게요 모두 감사했습니다 여러분 
아이돌 직캠 맛집 찾아요	남돌 여돌 상관없고 걍 추천해주라서치용방탄소년단 엑소 투바투 비투비 엔시티 세븐틴 스키즈 아스트로 엔하이픈 데이식스 더보이즈  아이콘 트와이스 레드벨벳 블랙핑크 있지 오마이걸 우주소녀 에스파 스테이씨 마마무 에이핑크 소녀시대 
운동선수 그만두고 공부 시작	안녕 나는 운동선수 인데 이번에 년동안 해온 운동을 그만 두고 다른 길로 가려고해 내가 고인데 지금 내신이 등급 정두 되거든 국어랑 탐구는 괜찮은데 수학하고 영어가 노베이스얌  운동때문에 공부 할 시간이 없어서 잘 못했거든 그래서 내신이 망해서 정시로 준비하려고 하는데 일정도 남았거든 나 잘 할수있을까  하고싶은건 간호학과쪽으로 가고싶어 노력은 진짜 몇배로 할거야 조언이나 팁같은거알랴줘 학원은 초딩때 다니고 안다녀봤어  
스키즈 창빈 애드립	공공칠빵빵 개웃김 이런게 라이브 묘미인듯
 감사합니다 본문은 삭제했습니다	 귀한 시간 내어 댓글 써주신 분들 모두 감사드립니다   많은 분들이 예상하신 대로  남자  여자 입니다글쓴이는 이고 는 잘못은 했지만 실수다 라는 입장이기에 제목을 저렇게 써줬습니다 이미 헤어짐을 통보했으나 이 또한 년 전부터 계속 반복되었던 일이라헤어짐을 고하면 계속 찾아오고 자신의 의견이 관철될 때까지 집에 보내주지 않는 등 말하자면 끝도 없지만제발 이번에는 완전히 안전하게끝내고 싶어서 글을 썼습니다원래는 에게 글을 보여주고 다른 사람들이 보는 너니까 주제파악 하고 살으라고 하고싶었는데 강한 댓글들에 급발진하여 심각하게 제 신변에 위협이 생길 수도 있을 것 같아서 본문은 지우겠습니다댓글은 제가 시시때때로 보고싶어서요경험에 기초하여 안타까워해주신 분들 속시원하게 따끔한 말씀 해주신 분들 모두 정말 감사드립니다다들 좋은 분들 만나서 행복하시길 바랍니다아 혹시나 해서 말씀해주셨던 이니셜은 아닙니다
인스타그램 스토리 따라 올리는 친구	내가 예민한건지 모르겠네 댓글로 어떤지 알려줘 귀찮으면 추반이라도내가 인스타 스토리를 자주 올리는데 그것 중에서 꼭 내 스토리랑 똑같은거 올리는 친구가 있음수학학원 같이 다니는데 말은 안하고 인사만 하는 정도내가 아까 스토리를 올렸는데 걔가 그 게시물을 따라가서 똑같이 스토리에 올리는거임나도 처음에는 그런가보다 하고 넘겼는데 몇 번째 그러니까 정 떨어지고씁 내가 예민한건가요 
우리 엄마 나 키 작다고	그낭 무시도 아니고 개무시함 이렇게 말하면 내가 엄청 작고 엄마는 큰 편인줄 알던데 난  엄마는  거의 차이 안 남 내가 롱치마 입으려면 이런건 키큰 너희 언니나 입어야 한다고 언니가 큰 편은 맞지만 너희가 생각하는 장원영 정도는 아니고 가끔 언니 슬렉스랑 내 슬렏스랑 헷갈릴때마다 너는 다리 이렇게 안 길잖아 딱봐도 이게 니 꺼지이러고 하그리고 크록스살때 내 친구가 굽있는 크록스가 푹신하고 편하대서  사려고했는데 언니앞에서 이렇게 높은 거 신는 애 있냐면서 조카 꼽 주고 언니는 아무것도 모르면서 자기 돈으로 사라해요  떰 조카 어이없는건 우리언니 내로남불 조카 심함 전에는 내 컨실러도 훔쳐가고 울면서 피코함일단 오늘은 엄마 이야기니까 나중에 썰 풀게글고 우리엄마 지나가거나 티비에서나 키 작은 사람들 개 무시함 내가 한 번  뭐라하니까 머리 맞음 성인돼자마자 탈출한다 방탄소년단 정국 지민 뷔 세븐틴 블랙핑크 제니 로제 지수 이달의소녀 레드벨벳 아이린 조이 예리 엑소 백현 디오 카이 에스파 카리나 윈터 투바투 수빈 범규 휴닝카이 마마무 아이유 트와이스 나연 사나 키작남 키작녀 엄마 대톡톡선 고마워내 말의 핀트는 언니랑 비교하면서 나를 깎아내린다는 거  
모바일 청첩장만 띡 보낸 친구 결혼식 가야 되나요	안녕하세요 사람들의 생각이 궁금해서 글을 써보게되었습니다글이 길어지지 않도록 최대한 요약해보겠습니다저와 고등학생때 친구들 모두 서울에 살고있었는데현재 저만 직장때문에 어쩔수없이 친구들과는 시간이상 떨어진 경기도의 어느 지역에 이사와서 홀로 출퇴근하며 살고있습니다그중 한명은 퇴사한지 년정도 되었구요 갑작스런 혼전임신으로 급하게 결혼식을 하게되었어요 그런데 남편될 사람이 글에서는 남친이라고 하겠슴제가 현재 있는 지역에서 직장을 다니느라 제가 있는 지역으로 신혼집을 구한대요이 친구는 임신 전에도 후에도 남친을 만나러 서울에서 출발해서 시간거리를 걸려 제 직장에 와서분이건 시간이건 대기를 한 뒤에 남친 퇴근시간에 맞춰 가곤 했습니다그러다 임신소식을 듣게 되었고 결혼 준비 과정을 내내 카톡으로 또는 제 직장에 와서 두가지의 방법으로 과정내내 듣게 되었습니다저 또한 친구를 축하해주며 내가다 설레는 마음으로 집은 구했니 몸은 어떠니 등등 신났었구요근데 제가 더 신나고 설레서 안부를 물을때마다 그친구는아 이미 명한테 말해서 귀찮아 매일 명한테 똑같은 질문에 똑같은 대답 한다고 생각해봐 귀찮아죽겠어라고 짜증을 내더니 질문에는 대답도 안해주더라구요묻는 말마다 저러니까 나중엔 뭘 물어보지도 말을 걸지도 못하겠어서 그 친구가 제 직장에 놀러와도 침묵뿐이였습니다그러다 어느날 카톡으로 모바일 청첩장을 보내면서일단 이라고 하더라구요 일단 당황스러웠지만 일단 이거주고 조만간 제대로 만나서 주겠다는걸로 알아들었습니다 하지만 틀렸네요 한 두어달간 결혼식과 청첩장 이야기가 없길래 혹시 내가 결혼식 가는게 불편할까 싶어 저도 안갈생각을 했습니다 불편할까싶던 이유는 그친구가 살부터 저도 다 아는 고등학교 같은반이였던 친구들을 실명없이 그냥 친구만나러가 친구가 했어 이런식으로 친구가 라고 하길래 저한테 그친구들이랑 친한게 챙피한가 왜 숨기지 하고 의문이였거든요 나중에 한다리 건너면 다 그게 누구였는지 알수있었는데 왜 나도 아는 친구를 굳이 친구라고 했는지는 모르겠습니다이런 연유로 연관이 되어 그친구들도 오니까 내가 가는게 불편하려나 하는 생각도 조금 있었습니다그리고 두어달쯤 뒤에서야 저에게 톡으로결혼식 올거지 직장 하루 빼고 오는거지라고 보내더라구요그 결혼식하는 요일이 한주간 제 직장이 제일 바쁜 날이고 인 근무라서 빼기가 굉장히 어렵습니다하지만 저렇게 말을 하니 바로 제 상사에게 요청해본 후 겨우 시간을 만들었습니다그리고 결혼식까지는 또 두달가량 남은 상태였구요그 친구는 평소처럼 제 직장에 몇번 더 와서 침묵을 하거나 자랑을 한 후 남친 퇴근시간에 맞춰 떠났습니다그리고 결혼식 일주일 전 월요일이 신혼집 입주날이였어요그래서 저희집과 분거리가 되는 친구에게저는 살가운 마음으로 수요일에 너희집앞에 갈 일이 있는데 밥이나 먹자 라고 했고 그 친구는 부정적인 코멘트였습니다 짐정리때문에 어떻게될지 모르겠다 되면 보고 안되면 다음주결혼식 끝난 후에 보자 라고 하길래저는 황당했죠 보통 결혼식 전에 한번씩 밥먹고 그러지않나 싶었는데 만나기 싫어하는 듯한 반응에 그냥 볼일 봐 나혼자 볼일보고 갈게 라고 한 후 연락을 끊었습니다며칠뒤 신혼집 입주날 되자마자 영상통화를 걸더니 가구도 없이 텅 빈 집을 보여주면서 이사하려고 와있다고 하더라구요  서운함이 몇가지 있었지만 먼저 영통을 걸어 집자랑을 하며 설레는 친구를 위해 최대한 반응을 해줬구요다음날 또 영상통화를 걸어오더니 가구가 다 들어왔고 가족들도 왔다갔고 간단한 집청소를 하며 모든게 정리된 모습을 보여줬지만 만나자는 이야기는 도 안꺼내더라구요계속 아리송한 저는 제 절친에게 물어봤습니다이렇게 서운한 마음을 가지고 결혼식에 가도 되냐 안가는게 낫지 않냐 라고요제 절친은 청첩장은 받고 고민하는 거냐고 묻길래모바일 청첩장을 받은 것을 보여줬습니다일단 이라고 하면서 깜짝놀란 제 절친은 보통 밥을 사주면서 청첩장을 주는게 예의라고 하더라구요저는 미혼이라 그런것을 잘 몰랐지만 생각해보니 제 결혼한 친구들은 다 남편 인사시켜주면서 밥먹고 청첩장받고 즐겁게 보냈었어요제 절친은 그러더라구요 카톡으로 일단 이러면서 띡 보내고 아무말 없는건 오든지말든지 상관없다는거고 굳이 바쁜날 일을 빼고 갈정도는 아니라고 하길래 일까지 빼고 축의금 들고 몇시간을 가서 주고오려던 제가 호구같았어요물론 코로나때문에 이해할수도 있지만 그렇다기엔 일주일에 몇번씩 제 직장에 왔다갔다 하는 친구니까 코로나는 적용이 안되네요심지어 나중에 알고보니 그 친구의 단짝친구에게도 일단이라고 하면서 보냈대요 그 단짝친구는 심지어 웨딩사진이 올라올때까지 임신은 커녕 남친의 유무 자체도 말을 안해서 몰랐대요 타지로 멀리 이사가서 그런가보다 라며 꾸역꾸역 이해하려했지만 저랑 얘기하다보니 고작 일주일 전에서야 이사온거고 그 전까진 서울이라 가까웠고 시간도 많았는데도 만나자는 말 한마디 없었던거라는 사실을 알게되고 충격을 받더라구요저는 단짝은 아니라서 그렇다치지만 그친구가 단짝에게까지 그랬다는 사실에 저도 많은 충격이였습니다연락은 앞서 기재한 영상통화 두번을 제외하고는 일정도 전의 밥한번 먹자했다가 만 그게 마지막이구요 결혼식 전날까지도 내일 조심히 오라는둥 멀리서 와주는데 어쩌구저쩌구 등 한마디 연락도 없어서 다음날이 결혼식인지도 몰랐을정도였습니다 그래서 결국 안갔는데여러분은 어떻게 생각하시는지 궁금해서 묻습니다만날 시간도 많고 분거리면서 밥은 안먹는다쳐도 만나기도 했으면서 청첩장도 안주고 전날까지도 연락없는데 왜가냐 잘했다  그래도 갔어야지 그게 친구로서 도리다
